,Day,Month,Year,1St,hundredth,tenth,oneth,sum
424,1,3,2546,441022,0,2,2,4
481,16,10,2543,620662,6,6,2,14
44,30,12,2561,735867,8,6,7,22
305,16,2,2551,137054,0,5,4,9
15,16,3,2563,503446,4,4,6,15
292,1,9,2551,695993,9,9,3,22
0,16,12,2563,201303,3,0,3,6
21,16,12,2562,529924,9,2,4,15
190,1,12,2555,110443,4,4,3,11
58,1,6,2561,988117,1,1,7,9
64,2,3,2561,759415,4,1,5,10
284,30,12,2551,218596,5,9,6,21
50,1,10,2561,452643,6,4,3,13
118,1,12,2558,915350,3,5,0,8
407,16,11,2546,238511,5,1,1,7
546,1,2,2541,665959,9,5,9,24
66,1,2,2561,26853,8,5,3,16
60,2,5,2561,248038,0,3,8,12
437,16,8,2545,120108,1,0,8,9
212,30,12,2554,526402,4,0,2,6
662,1,4,2536,5825558,5,5,8,19
691,16,1,2535,1149428,4,2,8,15
564,2,5,2540,388437,4,3,7,15
337,16,10,2549,264825,8,2,5,15
522,1,2,2542,342860,8,6,0,14
641,16,2,2537,7679044,0,4,4,8
699,16,9,2534,4790449,4,4,9,18
421,16,4,2546,892525,5,2,5,12
464,1,7,2544,107987,9,8,7,25
693,16,12,2534,7241436,4,3,6,13
86,1,4,2560,392785,7,8,5,21
404,30,12,2546,739447,4,4,7,16
684,2,5,2535,5765397,3,9,7,20
665,16,2,2536,7549455,4,5,5,15
543,16,3,2541,572701,7,0,1,8
668,30,12,2535,6662150,1,5,0,6
114,1,2,2559,927800,8,0,0,8
676,1,9,2535,1446615,6,1,5,12
576,1,11,2539,512694,6,9,4,20
69,16,12,2560,955596,5,9,6,21
233,16,2,2554,481746,7,4,6,18
378,1,2,2548,540054,0,5,4,9
521,16,2,2542,307213,2,1,3,6
612,2,5,2538,504692,6,9,2,18
179,16,5,2556,687125,1,2,5,8
597,16,12,2538,952808,8,0,8,16
661,16,4,2536,5632018,0,1,8,9
191,16,11,2555,639500,5,0,0,5
375,16,3,2548,196345,3,4,5,12
201,16,6,2555,159373,3,7,3,14
519,16,3,2542,577278,2,7,8,18
624,1,11,2537,1676779,7,7,9,24
621,16,12,2537,5100040,0,4,0,4
276,2,5,2552,294452,4,5,2,11
472,1,3,2544,836537,5,3,7,16
235,16,1,2554,281062,0,6,2,8
32,1,7,2562,943647,6,4,7,18
442,1,6,2545,161149,1,4,9,15
514,1,6,2542,77626,6,2,6,14
674,1,10,2535,6379578,5,7,8,21
295,16,7,2551,257374,3,7,4,15
721,16,10,2533,5626303,3,0,3,6
129,16,6,2558,644742,7,4,2,13
412,1,9,2546,187813,8,1,3,12
450,1,2,2545,633270,2,7,0,9
119,16,11,2558,795283,2,8,3,14
228,2,5,2554,54136,1,3,6,10
520,2,3,2542,660214,2,1,4,7
534,1,8,2541,748493,4,9,3,17
322,1,6,2550,836393,3,9,3,16
215,16,11,2554,997777,7,7,7,22
734,1,4,2533,4734251,2,5,1,8
355,16,1,2549,432747,7,4,7,19
31,15,7,2562,369765,7,6,5,19
465,16,6,2544,762394,3,9,4,17
360,1,11,2548,970577,5,7,7,20
559,16,7,2540,509691,6,9,1,17
88,1,3,2560,978453,4,5,3,12
95,16,11,2559,858383,3,8,3,15
547,16,1,2541,947195,1,9,5,16
272,1,7,2552,207542,5,4,2,11
425,17,2,2546,455578,5,7,8,21
679,16,7,2535,7954430,4,3,0,7
724,1,9,2533,1622380,3,8,0,11
327,16,3,2550,876763,7,6,3,16
506,1,10,2542,830676,6,7,6,20
580,1,9,2539,470136,1,3,6,10
672,1,11,2535,6267821,8,2,1,11
79,16,7,2560,820327,3,2,7,12
727,16,7,2533,3814178,1,7,8,17
346,1,6,2549,810850,8,5,0,13
711,16,3,2534,5891641,6,4,1,11
283,16,1,2552,743212,2,1,2,5
430,1,12,2545,968422,4,2,2,8
487,16,7,2543,931342,3,4,2,9
469,16,4,2544,140843,8,4,3,15
388,1,9,2547,96597,5,9,7,22
735,16,3,2533,3240205,2,0,5,7
110,1,4,2559,66720,7,2,0,9
336,1,11,2549,910957,9,5,7,22
361,16,10,2548,41072,0,7,2,9
517,16,4,2542,625094,0,9,4,14
279,16,3,2552,268812,8,1,2,11
133,16,4,2558,506260,2,6,0,8
198,1,8,2555,895590,5,9,0,14
177,16,6,2556,289673,6,7,3,17
501,16,12,2542,139853,8,5,3,16
57,16,6,2561,223131,1,3,1,5
319,16,7,2550,527384,3,8,4,16
411,16,9,2546,600589,5,8,9,23
146,1,10,2557,375615,6,1,5,12
687,16,3,2535,1218353,3,5,3,11
737,16,2,2533,3732892,8,9,2,20
286,1,12,2551,205434,4,3,4,11
710,1,4,2534,1606864,8,6,4,19
165,16,12,2556,341767,7,6,7,21
234,1,2,2554,610089,0,8,9,18
603,16,9,2538,876454,4,5,4,13
92,30,12,2559,377712,7,1,2,10
210,1,2,2555,320605,6,0,5,11
34,1,6,2562,516461,4,6,1,11
265,16,10,2552,258487,4,8,7,20
51,16,9,2561,149760,7,6,0,13
431,16,11,2545,915344,3,4,4,11
713,16,2,2534,3223780,7,8,0,15
644,30,12,2536,2669189,1,8,9,19
595,16,1,2539,318302,3,0,2,5
459,16,9,2544,616426,4,2,6,12
500,30,12,2542,51108,1,0,8,9
683,16,5,2535,2827496,4,9,6,20
362,1,10,2548,766482,4,8,2,15
161,16,2,2557,384245,2,4,5,11
213,16,12,2554,884178,1,7,8,17
281,16,2,2552,38730,7,3,0,10
153,16,6,2557,673920,9,2,0,11
690,1,2,2535,5986924,9,2,4,15
598,1,12,2538,714426,4,2,6,12
150,1,8,2557,766391,3,9,1,14
471,16,3,2544,633616,6,1,6,13
186,1,2,2556,565566,5,6,6,18
116,30,12,2558,8217,2,1,7,10
714,1,2,2534,5396496,4,9,6,20
702,1,8,2534,6580541,5,4,1,10
618,1,2,2538,198162,1,6,2,9
203,16,5,2555,814418,4,1,8,13
523,16,1,2542,190611,6,1,1,8
739,16,1,2533,3992239,2,3,9,15
163,16,1,2557,306902,9,0,2,11
162,1,2,2557,180149,1,4,9,15
291,16,9,2551,12377,3,7,7,18
480,1,11,2543,93182,1,8,2,12
33,16,6,2562,174055,0,5,5,11
444,2,5,2545,590664,6,6,4,17
68,30,12,2560,911234,2,3,4,9
477,16,12,2543,969676,6,7,6,20
62,1,4,2561,412073,0,7,3,11
440,1,7,2545,481447,4,4,7,16
513,16,6,2542,278794,7,9,4,21
664,1,3,2536,4006281,2,8,1,11
24,1,11,2562,967375,3,7,5,16
376,1,3,2548,800751,7,5,1,13
183,16,3,2556,968433,4,3,3,10
222,1,8,2554,218756,7,5,6,19
458,1,10,2544,104154,1,5,4,10
302,1,4,2551,12653,6,5,3,14
309,16,12,2550,513501,5,0,1,6
111,16,3,2559,134918,9,1,8,18
48,1,11,2561,149840,8,4,0,12
592,1,3,2539,304855,8,5,5,19
709,16,4,2534,4824037,0,3,7,11
221,16,8,2554,536960,9,6,0,15
363,16,9,2548,214768,7,6,8,22
654,1,8,2536,4137744,7,4,4,15
147,16,9,2557,772269,2,6,9,18
697,16,10,2534,2078202,2,0,2,4
540,2,5,2541,663807,8,0,7,15
184,1,3,2556,976241,2,4,1,7
395,16,5,2547,589207,2,0,7,9
329,16,2,2550,277859,8,5,9,23
164,30,12,2556,561072,0,7,2,9
694,1,12,2534,1470741,7,4,1,12
660,2,5,2536,7749508,5,0,8,13
736,1,3,2533,4968902,9,0,2,11
382,1,12,2547,504658,6,5,8,20
532,1,9,2541,872795,7,9,5,22
325,16,4,2550,405105,1,0,5,6
359,16,11,2548,742518,5,1,8,14
189,16,12,2555,529524,5,2,4,11
350,1,4,2549,738365,3,6,5,15
716,30,12,2533,2190949,9,4,9,23
2,16,11,2563,972661,6,6,1,13
686,1,4,2535,2244704,7,0,4,11
657,16,6,2536,2119871,8,7,1,16
535,16,7,2541,599991,9,9,1,20
373,16,4,2548,119327,3,2,7,12
445,16,4,2545,522630,6,3,0,9
19,17,1,2563,491774,7,7,4,19
342,1,8,2549,238654,6,5,4,15
126,1,8,2558,518677,6,7,7,21
635,16,5,2537,2071764,7,6,4,18
494,1,4,2543,963948,9,4,8,22
219,16,9,2554,731198,1,9,8,19
102,1,8,2559,272932,9,3,2,14
139,16,1,2558,244351,3,5,1,9
552,1,11,2540,974201,2,0,1,3
508,1,9,2542,591344,3,4,4,11
623,16,11,2537,6095849,8,4,9,22
277,16,4,2552,368415,4,1,5,10
391,16,7,2547,205588,5,8,8,22
730,1,6,2533,2355474,4,7,4,16
478,1,12,2543,887956,9,5,6,21
99,16,9,2559,240650,6,5,0,11
172,1,9,2556,548123,1,2,3,6
266,1,10,2552,169387,3,8,7,19
696,1,11,2534,7894285,2,8,5,16
423,16,3,2546,653062,0,6,2,8
127,16,7,2558,121507,5,0,7,12
269,16,8,2552,462933,9,3,3,15
466,1,6,2544,113311,3,1,1,5
47,16,11,2561,989903,9,0,3,12
109,16,4,2559,221609,6,0,9,15
556,1,9,2540,83537,5,3,7,16
134,1,4,2558,605704,7,0,4,11
188,30,12,2555,302358,3,5,8,17
42,1,2,2562,967134,1,3,4,8
417,16,6,2546,389872,8,7,2,17
470,1,4,2544,640998,9,9,8,27
238,1,12,2553,181752,7,5,2,14
138,1,2,2558,155537,5,3,7,16
202,1,6,2555,882727,7,2,7,16
474,1,2,2544,454703,7,0,3,10
274,1,6,2552,777661,6,6,1,13
415,16,7,2546,679545,5,4,5,14
314,1,10,2550,430667,6,6,7,20
405,16,12,2546,177947,9,4,7,21
551,16,11,2540,875462,4,6,2,12
313,16,10,2550,32988,9,8,8,26
555,16,9,2540,527514,5,1,4,10
93,16,12,2559,435286,2,8,6,17
294,1,8,2551,850348,3,4,8,16
530,1,10,2541,987844,8,4,4,16
570,1,2,2540,750792,7,9,2,19
497,16,2,2543,729816,8,1,6,15
45,16,12,2561,356564,5,6,4,16
461,16,8,2544,690135,1,3,5,9
533,16,8,2541,81784,7,8,4,20
6,16,9,2563,244083,0,8,3,12
600,1,11,2538,282069,0,6,9,16
680,1,7,2535,5119968,9,6,8,24
414,1,8,2546,766098,0,9,8,18
224,1,7,2554,622953,9,5,3,17
38,1,4,2562,109767,7,6,7,21
637,16,4,2537,7893913,9,1,3,13
381,16,12,2547,479372,3,7,2,12
87,16,3,2560,273863,8,6,3,17
296,1,7,2551,943671,6,7,1,14
260,30,12,2552,994304,3,0,4,7
383,16,11,2547,754622,6,2,2,10
27,16,9,2562,340388,3,8,8,20
39,16,3,2562,724628,6,2,8,17
220,1,9,2554,724533,5,3,3,11
509,16,8,2542,340998,9,9,8,27
77,16,8,2560,715431,4,3,1,8
312,1,11,2550,927907,9,0,7,16
357,16,12,2548,449565,5,6,5,17
370,1,6,2548,176893,8,9,3,21
456,1,11,2544,683472,4,7,2,13
630,1,8,2537,3114057,0,5,7,13
642,1,2,2537,5984685,6,8,5,20
41,16,2,2562,74824,8,2,4,14
549,16,12,2540,294240,2,4,0,6
678,1,8,2535,6697778,7,7,8,23
638,1,4,2537,4269815,8,1,5,14
316,1,9,2550,331810,8,1,0,9
268,1,9,2552,15865,8,6,5,20
658,1,6,2536,3488477,4,7,7,19
36,2,5,2562,61324,3,2,4,9
732,2,5,2533,5898868,8,6,8,23
475,16,1,2544,737016,0,1,6,7
720,1,11,2533,4380230,2,3,0,5
557,16,8,2540,156967,9,6,7,23
154,1,6,2557,781198,1,9,8,19
575,16,11,2539,951088,0,8,8,17
144,1,11,2557,206608,6,0,8,14
473,16,2,2544,621267,2,6,7,16
331,16,1,2550,838739,7,3,9,20
125,16,8,2558,33363,3,6,3,12
273,16,6,2552,930456,4,5,6,16
315,16,9,2550,499336,3,3,6,12
262,1,12,2552,776980,9,8,0,17
326,1,4,2550,622780,7,8,0,15
403,16,1,2547,731342,3,4,2,9
457,16,10,2544,975005,0,0,5,5
84,2,5,2560,8656,6,5,6,18
